a,b,j,H_5,v_2
23,18,7,72443836080,4
23,18,10,44130599280,4
23,18,11,35529112080,4
23,20,4,143772768720,4
23,20,5,132753394800,4
23,20,12,45321732720,4
25,0,2,67087440,4
25,0,3,55566000,4
25,0,6,26146800,4
25,0,7,19913040,4
25,0,10,70534800,4
25,0,11,169225200,4
25,4,2,1918350000,4
25,4,3,1686862800,4
25,4,6,928970640,4
25,4,7,698871600,4
25,4,10,211382640,4
25,4,11,126314640,4
25,8,2,11476726800,4
25,8,3,10466492400,4
25,8,6,6803722800,4
25,8,7,5540547600,4
25,8,10,2335410000,4
25,8,11,1577598000,4
25,12,2,39303154800,4
25,12,3,36599930640,4
25,12,6,26284366800,4
25,12,7,22486690800,4
25,12,10,11802596400,4
25,12,11,8854088400,4
25,16,2,100598274000,4
25,16,3,94932356400,4
25,16,6,72644569200,4
25,16,7,64118754000,4
25,16,10,38612624400,4
25,16,11,30926502000,4
25,20,2,215202427440,4
25,20,3,204948651600,4
25,20,6,163797699600,4
25,20,7,147657893040,4
25,20,10,97404879600,4
25,20,11,81405258000,4
25,24,2,407595661200,4
25,24,3,390773401200,4
25,24,6,322296830640,4
25,24,7,294964966800,4
25,24,10,207458450640,4
25,24,11,178540478640,4
26,3,1,1336633200,4
26,3,3,1046818800,4
26,3,5,718146000,4
26,3,7,417186000,4
26,3,9,196841520,4
26,3,11,81370800,4
26,7,1,9718909200,4
26,7,3,8201768400,4
26,7,5,6268230000,4
26,7,7,4235886000,4
26,7,9,2449394640,4
26,7,11,1156755600,4
26,11,1,36225025200,4
26,11,3,31842897840,4
26,11,5,25955542800,4
26,11,7,19322528400,4
26,11,9,12864121200,4
26,11,11,7428812400,4
26,15,1,97218219600,4
26,15,3,87638559120,4
26,15,5,74379380400,4
26,15,7,58833183600,4
26,15,9,42779696400,4
26,15,11,28044651600,4
26,19,1,214364248560,4
26,19,3,196559622000,4
26,19,5,171441556560,4
26,19,7,141226439760,4
26,19,9,108837313200,4
26,19,11,77453901360,4
26,23,1,414631386000,4
26,23,3,384879474000,4
26,23,5,342346402800,4
26,23,7,290263402800,4
26,23,9,232980682320,4
26,23,11,175408707600,4
27,0,4,61074000,4
27,0,5,48438000,4
27,0,12,396802800,4
27,2,2,670381200,4
27,2,3,579106800,4
27,2,6,301806000,4
27,2,7,223146000,4
27,2,10,72334800,4
27,2,11,66250800,4
27,4,4,1926106800,4
27,4,5,1604194320,4
27,4,12,134799120,4
27,8,4,12379061520,4
27,8,5,10840158000,4
27,8,12,1614135600,4
27,10,2,29145121200,4
27,10,3,27030056400,4
27,10,6,19057338000,4
27,10,7,16162935600,4
27,10,10,8184639600,4
27,10,11,6044346000,4
27,12,4,44214833520,4
27,12,5,39908408400,4
27,12,12,9587365200,4
27,16,4,116262217680,4
27,16,5,106994924400,4
27,16,12,34840940400,4
27,18,2,195653883600,4
27,18,3,186155463600,4
27,18,6,148138988400,4
